holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,hour,weekday,month,W1,W2,W3,autumn,spring,summer,winter,CountClass
0,0,18.04,21.97,54,0.0,120,226,12,7,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,22.14,25.76,60,8.9981,50,241,20,2,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,27.06,31.06,61,15.0013,55,210,12,4,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,28.7,32.575,70,12.998,18,329,8,1,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,25.42,29.545,73,7.0015,35,238,21,1,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,4.92,6.06,54,19.0012,3,14,7,7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,14.76,18.94,62,0.0,46,186,17,6,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,36.08,40.15,40,26.0027,183,289,14,6,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,26.24,30.305,69,15.0013,48,133,14,1,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,21.32,25.0,94,11.0014,7,102,6,2,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,17.22,21.21,44,8.9981,61,593,17,5,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,5.74,3.79,39,43.0006,7,133,12,7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,9.02,11.365,47,12.998,1,13,0,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,36.08,39.395,35,16.9979,69,478,19,2,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,18.04,21.97,77,8.9981,14,168,6,5,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,12.3,15.15,52,8.9981,4,53,8,7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,18.86,22.725,82,7.0015,3,7,4,3,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,21.32,25.0,32,30.0026,53,303,17,3,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,11.48,12.88,45,19.0012,28,216,12,6,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,29.52,34.09,66,7.0015,25,242,7,5,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,29.52,34.09,62,12.998,57,310,9,3,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,15.58,19.695,87,7.0015,10,582,8,1,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,12.3,14.395,93,12.998,10,101,7,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,29.52,34.85,79,0.0,18,278,21,3,9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,17.22,21.21,38,23.9994,19,504,17,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1,32.8,38.635,59,15.0013,82,432,19,2,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,10.66,11.365,48,19.9995,1,1,5,7,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,10.66,12.88,70,11.0014,11,55,1,6,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,22.96,26.515,94,11.0014,0,6,2,5,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,9.84,12.12,81,8.9981,16,141,9,6,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,17.22,21.21,67,15.0013,187,258,12,7,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,28.7,31.82,45,12.998,69,149,21,5,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,20.5,24.24,77,11.0014,2,31,0,4,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,9.84,12.88,65,6.0032,7,39,2,6,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,31.16,33.335,31,26.0027,128,245,14,5,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,20.5,24.24,72,11.0014,30,330,20,2,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0,13.94,17.425,81,7.0015,2,8,3,1,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,22.14,25.76,77,7.0015,0,2,2,2,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,30.34,32.575,37,19.0012,125,698,17,5,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,16.4,20.455,76,15.0013,33,67,14,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,31.16,34.09,48,11.0014,210,239,17,6,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,24.6,30.305,23,26.0027,89,187,19,7,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,4.1,3.79,46,27.9993,0,4,3,7,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,27.88,31.82,89,11.0014,15,42,3,7,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,18.86,22.725,19,22.0028,24,130,21,6,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,7.38,9.09,93,12.998,0,79,6,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,23.78,27.275,43,15.0013,91,857,17,3,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,21.32,25.0,23,27.9993,19,112,23,3,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,27.06,31.06,27,15.0013,57,197,13,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,9.02,11.365,100,11.0014,10,62,13,6,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,11.48,13.635,48,16.9979,32,204,13,6,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,21.32,25.0,84,11.0014,24,130,21,5,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,4.92,6.06,36,16.9979,0,28,20,6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,25.42,28.03,88,0.0,32,107,23,6,9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,19.68,23.485,67,22.0028,11,47,1,6,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,31.16,34.09,45,8.9981,86,739,18,4,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,25.42,30.305,69,19.0012,198,341,10,6,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,24.6,29.545,73,6.0032,1,1,3,2,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,30.34,34.09,55,15.0013,185,275,17,6,9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,27.88,31.06,24,12.998,269,321,15,6,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,1,22.96,26.515,52,12.998,70,396,16,3,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,9.02,9.85,37,22.0028,4,53,10,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,31.16,34.09,40,12.998,62,388,18,5,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,1,15.58,19.695,46,19.9995,8,398,18,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1,34.44,41.665,59,22.0028,80,293,19,1,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,18.86,22.725,94,0.0,9,223,8,3,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,1,21.32,25.0,59,19.0012,14,310,17,4,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0,0,17.22,21.21,100,19.9995,4,27,10,7,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,13.12,17.425,81,0.0,10,116,23,6,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
