holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,count,date,hour,weekday,month,W1,W2,W3,autumn,spring,summer,winter
0,1,6.56,9.85,74,6.0032,1,28,29,2011-03-04,06,5,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,17.22,21.21,88,7.0015,25,71,96,2012-03-18,08,7,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,23.78,27.275,83,7.0015,4,6,10,2011-09-13,01,2,9,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,15.58,19.695,40,11.0014,100,234,334,2011-11-05,17,6,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,26.24,28.79,89,7.0015,5,48,53,2011-07-09,01,6,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,27.06,30.305,83,15.0013,1,27,28,2012-07-09,05,1,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,9.84,12.88,75,7.0015,0,64,64,2012-01-07,08,6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,16.4,20.455,82,0.0,11,32,43,2011-11-04,00,5,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,9.84,10.605,60,19.9995,0,1,1,2012-11-14,02,3,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,22.96,26.515,64,11.0014,32,124,156,2012-05-13,08,7,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,13.94,15.15,53,27.9993,23,304,327,2012-11-09,09,5,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,19.68,23.485,59,0.0,14,20,34,2012-05-12,03,6,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,31.16,37.12,72,11.0014,11,47,58,2012-07-07,02,6,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,13.12,15.91,66,11.0014,1,25,26,2012-11-02,05,5,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,18.04,21.97,67,15.0013,1,4,5,2011-10-06,03,4,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,10.66,14.395,56,6.0032,6,256,262,2012-02-14,09,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,35.26,40.91,50,16.9979,22,119,141,2011-07-11,13,1,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,27.88,31.82,65,19.9995,204,298,502,2012-05-05,17,6,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1,6.56,8.335,59,11.0014,3,125,128,2011-01-12,08,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,30.34,33.335,48,6.0032,65,616,681,2012-05-01,17,2,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,21.32,25.0,59,7.0015,8,10,18,2011-06-04,03,6,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,24.6,29.545,73,6.0032,1,1,2,2011-06-07,03,2,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,13.94,16.665,46,0.0,40,200,240,2012-11-14,12,3,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,25.42,31.06,57,0.0,1,5,6,2011-07-01,04,5,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,25.42,29.545,73,15.0013,87,288,375,2012-10-19,13,5,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,22.96,26.515,52,32.9975,4,22,26,2012-03-09,01,5,3,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,13.12,15.15,61,22.0028,5,226,231,2012-02-15,09,3,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,28.7,32.575,58,16.9979,20,132,152,2012-07-11,23,3,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,0,3.28,4.545,53,12.998,0,18,18,2012-02-12,07,7,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,25.42,30.305,69,22.0028,8,63,71,2012-05-08,14,2,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,12.3,15.91,61,6.0032,31,144,175,2011-12-03,19,6,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,16.4,20.455,82,7.0015,4,116,120,2012-04-19,06,4,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1,21.32,25.0,88,19.0012,28,286,314,2011-04-11,08,1,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1,26.24,28.79,89,8.9981,0,5,5,2012-07-11,03,3,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,18.86,22.725,88,7.0015,0,6,6,2012-06-07,04,4,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,9.84,12.88,93,6.0032,4,119,123,2011-02-02,09,3,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,13.12,14.395,76,26.0027,15,44,59,2011-03-09,11,3,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,20.5,24.24,55,7.0015,37,132,169,2011-04-18,09,1,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,16.4,20.455,76,22.0028,9,58,67,2011-10-01,08,6,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,18.04,21.97,67,19.0012,4,3,7,2011-11-14,03,1,11,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,20.5,24.24,72,12.998,6,34,40,2011-10-06,00,4,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,25.42,31.06,43,8.9981,95,234,329,2012-10-01,15,1,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
